directed_id,original_edge_id,nvdb_id,name,geometry,is_reverse
11,11,1851310,Rissneleden,"LINESTRING (17.93699251007272 59.38061815850864, 17.9370644930554 59.38047778720455)",false
12,12,1851299,Rissneleden,"LINESTRING (17.93699251007272 59.38061815850864, 17.937012992002032 59.38062222594827, 17.937051267226494 59.380632667836274, 17.93708497954215 59.38064573751552, 17.93710775586605 59.380657391181124, 17.937129739619216 59.38067189322462, 17.937144552234702 59.38068452602842)",false
13,13,1851313,Rissneleden,"LINESTRING (17.937964485725946 59.38054086419893, 17.937942168234315 59.38054116673199, 17.937787009819917 59.38054298271899, 17.93766318205012 59.38054215163727, 17.93755514738935 59.38053781057953, 17.937446443848685 59.380531031379704, 17.93735408484549 59.380521008392144, 17.93721039368771 59.38050005590962, 17.9370644930554 59.38047778720455)",false
14,14,1851312,Rissneleden,"LINESTRING (17.938156988596518 59.38053712810739, 17.938103194798533 59.38053898468595, 17.937964485725946 59.38054086419893)",false
15,15,1851311,Rissneleden,"LINESTRING (17.938465894977565 59.38051875149875, 17.938286897069474 59.38053264315978, 17.938156988596518 59.38053712810739)",false
16,16,1851322,Kvarnvägen,"LINESTRING (17.93846416093528 59.38075450168363, 17.938463574599883 59.38083430433861, 17.93845717813267 59.3810165278326, 17.938454168260776 59.38119270842075)",false
17,17,1851716,Madenvägen,"LINESTRING (17.938454168260776 59.38119270842075, 17.938885537185126 59.38117850151082, 17.93901623622145 59.38116916638316, 17.939121769334356 59.38115801721131, 17.939219300737538 59.38114700341552, 17.939306347102807 59.38113043008399, 17.93938089231374 59.38110942098813, 17.939437220523484 59.38108732193659, 17.939485281140904 59.381060458082786, 17.93952440392219 59.38102719115896, 17.93955136709855 59.38099709181176)",false
18,18,1851321,Kvarnvägen,"LINESTRING (17.938464734641162 59.38067664833327, 17.93846416093528 59.38075450168363)",false
19,19,1851320,Kvarnvägen,"LINESTRING (17.938465894977565 59.38051875149875, 17.938464734641162 59.38067664833327)",false
20,20,1851658,Rissneleden,"LINESTRING (17.938953636866387 59.380379139247275, 17.938921530702565 59.3803909290123, 17.93879736397236 59.38043011146047, 17.93866941024386 59.38046827389161, 17.938465894977565 59.38051875149875)",false
21,21,1851657,Rissneleden,"LINESTRING (17.939617679693182 59.38005080185374, 17.93960536735846 59.38006033484983, 17.939496967752365 59.380131682123896, 17.93938747919847 59.38019351092424, 17.939277537619237 59.38024746928702, 17.939166274033173 59.38029735084144, 17.939045312494944 59.38034547404077, 17.938953636866387 59.380379139247275)",false
22,22,1851724,Mjölnerbacken,"LINESTRING (17.93299069122316 59.37848626022609, 17.93289997822322 59.37847686209713, 17.93278058471137 59.37847386000104)",false
23,23,1853930,Artillerivägen,"LINESTRING (17.940066729742608 59.37770172326174, 17.940223410236936 59.37746248282231)",false
24,24,1854038,Artillerivägen,"LINESTRING (17.939952921590056 59.378490062223754, 17.939950277383115 59.37848118726068)",false
25,25,1854039,Artillerivägen,"LINESTRING (17.939950277383115 59.37848118726068, 17.93994626699553 59.378467721703316, 17.9399331418963 59.378371285425274, 17.93993307939322 59.378279272125276, 17.939938398624864 59.37818799111356, 17.939950052087198 59.37810478028889, 17.939970019713265 59.378026881284185, 17.93999211969589 59.377957946956236, 17.94001782953524 59.37788677461958, 17.940034527728045 59.37782358721846)",false
26,26,1854040,Artillerivägen,"LINESTRING (17.940034527728045 59.37782358721846, 17.940066729742608 59.37770172326174)",false
27,27,1854171,Mässvägen,"LINESTRING (17.932822853394143 59.3781846901079, 17.93281371262947 59.378205670872994, 17.932765186990576 59.37838675673795, 17.93278058471137 59.37847386000104)",false
28,28,1851717,Madenvägen,"LINESTRING (17.93955136709855 59.38099709181176, 17.939605039258634 59.38093721333283, 17.93985492689566 59.380567518799594, 17.9398970304214 59.380512151330954, 17.939945748227125 59.3804599504583, 17.940010198718856 59.38041269641373, 17.940092236196126 59.38036516254447, 17.940177582990316 59.38032818420257, 17.94028188707281 59.38029637642664, 17.940386521951023 59.38027001549109, 17.940510621151063 59.380247968958635, 17.940655663453438 59.38022860394456, 17.94078894781918 59.3802178518059, 17.940921150578763 59.380215552621024, 17.941099940561923 59.380216362783095, 17.941251902362897 59.38021486654575, 17.941405428076045 59.380212517137934, 17.94155561131764 59.380207771863944, 17.941706412740054 59.38019512292102, 17.941848388921457 59.38017798234483, 17.941976089769767 59.380162960909054, 17.942747964556574 59.380050704367726, 17.94390186766029 59.37987542610888, 17.945025525349372 59.379710750023044, 17.94581508196176 59.37958451596427, 17.94795665874463 59.37925302745265, 17.950332833956224 59.378886406161406)",false
29,29,1851656,Rissneleden,"LINESTRING (17.939805158992893 59.379895406234475, 17.939762531636415 59.379938151450425, 17.9396620263187 59.38001645559877, 17.939617679693182 59.38005080185374)",false
30,30,1851655,Rissneleden,"LINESTRING (17.93981313602602 59.37988740600905, 17.939805158992893 59.379895406234475)",false
31,31,1851654,Rissneleden,"LINESTRING (17.940546481031223 59.37925865789178, 17.940415835269597 59.37932381333505, 17.94031140701954 59.37938993189744, 17.940232956872244 59.37946217689921, 17.940137321771232 59.379560284176094, 17.939882455695813 59.379817894889804, 17.93981313602602 59.37988740600905)",false
