edge_id,source,target,osm_id,highway,name,maxspeed,oneway,lanes,surface,refs,geometry,is_reverse,length_m,maxspeed_kmh,cost_s,from_cell,to_cell,lca_res
1278,947344455,310085396,156449534,residential,Rensgatan,30,yes,,asphalt,"[947344455, 310085397, 310085396]","LINESTRING (17.969177300000002 59.3673513, 17.9693961 59.3673396, 17.9717136 59.3672521)",false,144.12833,30.0,17.295399,612639521705558015,612639521705558015,8
1279,587668764,587668766,46100826,service,,20.0,,,,"[587668764, 310086659, 587668766]","LINESTRING (17.942040900000002 59.3760612, 17.941638400000002 59.376150300000006, 17.9414816 59.3761851)",false,34.546295,20.0,6.218333,612639521774764031,612639521774764031,8
1280,11038197449,443038698,156459889,residential,Ateljévägen,30.0,,,asphalt,"[11038197449, 443038698]","LINESTRING (17.980831000000002 59.3692178, 17.9813309 59.3691486)",false,29.34816,30.0,3.521779,612639521697169407,612639521697169407,8
1281,443408905,1685606943,1083000434,residential,Friluftsvägen,30,,,asphalt,"[443408905, 1699190808, 1685621561, 1685606943]","LINESTRING (17.973409200000003 59.36996070000001, 17.9736844 59.3700065, 17.973842100000002 59.3700137, 17.9740161 59.3700181)",false,35.241283,30.0,4.228954,612639521705558015,612639521705558015,8
1282,539165336,539165374,173530023,residential,Ungdomsvägen,30,,,asphalt,"[539165336, 539165349, 539165357, 539165363, 539165369, 539165371, 539165373, 539165374]","LINESTRING (17.9634778 59.38294870000001, 17.9635961 59.382882200000005, 17.963752500000002 59.382800100000004, 17.963941300000002 59.382682100000004, 17.9641044 59.382524700000005, 17.964241700000002 59.3823542, 17.9643361 59.3821488, 17.964314 59.382061900000004)",false,113.10496,30.0,13.572595,612639521663614975,612639521663614975,8
1283,539181791,539181829,1184459422,residential,Skattetorpsvägen,30,,,,"[539181791, 539181828, 2343329807, 13014845286, 539181829]","LINESTRING (17.9515739 59.3847073, 17.9515044 59.3845005, 17.951474700000002 59.3843284, 17.9514326 59.3840839, 17.9514253 59.3840415)",false,74.56414,30.0,8.947698,612639521672003583,612639521672003583,8
1284,587668724,1752455005,163572623,living_street,Skvadronsbacken,20.0,,,asphalt,"[587668724, 1752455005]","LINESTRING (17.941726000000003 59.37377300000001, 17.9424117 59.374029500000006)",false,48.18933,20.0,8.67408,612639521774764031,612639521774764031,8
1285,587668929,297668257,46100854,living_street,,20.0,,,paved,"[587668929, 587668928, 10886483201, 297668257]","LINESTRING (17.955499800000002 59.3770128, 17.955625 59.377166200000005, 17.9558337 59.3775144, 17.955878000000002 59.377588300000006)",false,67.54693,20.0,12.158446,612639521676197887,612639521676197887,8
1286,587668978,587668979,1072298606,unclassified,,40.0,,,asphalt,"[587668978, 587668979]","LINESTRING (17.9667135 59.3736254, 17.966885100000002 59.373898700000005)",false,31.906357,40.0,2.871572,612639521667809279,612639521667809279,8
1287,587669180,1660552808,46100891,residential,Valkyriavägen,30,,,,"[587669180, 587669181, 1660552808]","LINESTRING (17.9429675 59.377849100000006, 17.9430671 59.37763150000001, 17.9431066 59.377560300000006)",false,33.072083,30.0,3.96865,612639521676197887,612639521676197887,8
1288,587669288,8097376857,868710130,residential,Ryttmästarvägen,5,,,paving_stones,"[587669288, 8097376859, 8097376855, 8097376857]","LINESTRING (17.9344363 59.375087400000005, 17.9342955 59.3751113, 17.9333755 59.37526570000001, 17.9329571 59.375325100000005)",false,87.87766,5.0,63.271915,612639521774764031,612639521774764031,8
1289,280783296,304089464,146215727,residential,Rosengatan,30,no,2,asphalt,"[280783296, 304089464]","LINESTRING (17.972266700000002 59.3630167, 17.972834900000002 59.363484400000004)",false,61.165604,30.0,7.3398724,612639521709752319,612639521709752319,8
1290,297896881,1601796190,27150853,residential,Löfströms allé,40,,2,asphalt,"[297896881, 1601796190]","LINESTRING (17.9577354 59.364558300000006, 17.956648 59.365250200000006)",false,98.5665,40.0,8.870985,612639521770569727,612639521770569727,8
1291,538835107,10009336099,43015460,tertiary,Tritonvägen,40,yes,1,asphalt,"[538835107, 10009336099]","LINESTRING (17.969395000000002 59.3563234, 17.969556400000002 59.3563029)",false,9.427213,40.0,0.8484492,612639521078509567,612639521078509567,8
1292,587668762,587668836,140114506,tertiary,Kavallerivägen,30,,,asphalt,"[587668762, 587668836]","LINESTRING (17.9410929 59.375770800000005, 17.940989000000002 59.3756484)",false,14.828193,30.0,1.7793831,612639521774764031,612639521774764031,8
1293,9838740870,587668982,887866457,living_street,Lötsjövägen,20.0,,,asphalt,"[9838740870, 587668982]","LINESTRING (17.9699193 59.3744213, 17.970243200000002 59.374374200000005)",false,19.080359,20.0,3.4344642,612639521707655167,612639521707655167,8
1294,280785075,280783294,25747523,residential,Tallgatan,30,,,asphalt,"[280785075, 1807144302, 280783294]","LINESTRING (17.9761013 59.363019900000005, 17.9753577 59.3624018, 17.9750134 59.362135300000006)",false,116.09703,30.0,13.931644,612639521709752319,612639521709752319,8
1295,538812431,8905550483,30299714,residential,Trädgårdsgatan,30,,,asphalt,"[538812431, 8905550483]","LINESTRING (17.9700902 59.35702250000001, 17.9702847 59.3570464)",false,11.339033,30.0,1.360684,612639521078509567,612639521078509567,8
1296,539181824,539181825,43040920,residential,Gårdsstigen,30,,,,"[539181824, 13014845290, 539181825]","LINESTRING (17.9499435 59.3840979, 17.949909100000003 59.384154200000005, 17.9493931 59.3849425)",false,98.95345,30.0,11.874415,612639521672003583,612639521672003583,8
