id_a,id_b,dtw_distance,max_dtw_distance,min_dtw_distance,bearing_diff,overlap_pct,match_type
1,580,2.059110159396289,3.7642240977673582,0.21795879506435156,6.355321308529824,100.0,1:1_SYMMETRIC
2,589,2.6540025095850615,4.360461766235701,1.4129052341736974,0.9670664610056292,100.0,1:1_SYMMETRIC
3,411,0.964726286347624,1.1090474082567483,0.8204051644384998,2.0532074762115826,100.0,1:N_SPLIT
3,345,4.920655861416502,21.36134416279474,0.12584766866443725,1.4557802766117902,100.0,1:N_SPLIT
4,1659,18.54245976526145,46.702599369291754,8.264148600219988,14.855058633305305,82.90772150046621,CONFLICT
5,2319,2.1311687978362923,5.818385912513791,0.16219017515205056,0.34788816346764406,94.20395345504983,1:1_SYMMETRIC
6,476,4.41645558426174,8.031221705084944,3.1925725417434343,0.5005997320374149,89.55222617403926,1:1_SYMMETRIC
7,172,2.0537767865268095,2.065529599180757,2.0478616394332714,0.42493989554270684,100.0,1:N_SPLIT
7,171,2.0619508338893553,2.0759625468123106,2.0479391209664,0.926041466782209,100.0,1:N_SPLIT
7,1186,2.2440656912136423,3.2642964805552475,1.3595772745283285,0.8531698624167348,100.0,1:N_SPLIT
8,43,4.098492105105173,12.625087965362626,1.9965183817238656,2.512788268685938,100.0,1:N_SPLIT
8,42,17.26250533338983,81.33111358107497,3.130461036514176,1.7091022158779765,51.992235594306756,1:N_SPLIT
9,213,1.445173892628346,1.4704550120188138,1.419892773237878,0.032928071962373906,100.0,1:N_SPLIT
9,1578,8.755946190141715,23.35733148275903,1.419892773237878,0.799470277360399,100.0,UNIDIRECTIONAL_PARTIAL
10,1573,3.2573901444143387,5.142935551913154,2.2170467784178762,0.20771458314044366,100.0,1:N_SPLIT
10,1578,9.052744844459975,23.595711367090296,1.747407027978901,0.8041040580437198,100.0,UNIDIRECTIONAL_PARTIAL
11,101,1.1579430247146962,3.3900319171822737,0.0419565781502707,0.3428563333608281,100.0,1:1_SYMMETRIC
12,467,3.0566788067528643,6.604681998664406,0.11767867080190375,6.103002662205199,100.0,1:N_SPLIT
12,468,7.37486604230777,18.161624451281543,1.48395009007813,6.102759175176772,100.0,UNIDIRECTIONAL_PARTIAL
13,2260,1.650333366846357,4.083668304813574,0.009434188126221784,1.95151065995708,100.0,1:1_SYMMETRIC
14,1927,1.808810177238119,3.5027934859210794,0.010126450823987032,0.8136195676497948,67.75616618635395,1:1_SYMMETRIC
15,2098,1.4870054647758622,3.1641478271158827,0.076820838786937,6.070390355612801,80.41399649984606,1:1_SYMMETRIC
16,1136,0.471350977289199,0.9103794842534437,0.05635096510215421,10.625811384479363,72.06445796468225,1:1_SYMMETRIC
17,2249,16.76235721877011,17.935440366812102,15.589274070728116,15.238899526106707,100.0,1:1_SYMMETRIC
18,2318,3.7437271032570485,10.392601298703342,0.23860959658220354,3.2922547973824408,68.94758764087221,CONFLICT
